SORT BIG
STACK A
Value: -499, Rank: 11101
Value: 528, Rank: 1001010
Value: 32, Rank: 110101
Value: 544, Rank: 1001011
Value: -479, Rank: 11110
Value: 545, Rank: 1001100
Value: 40, Rank: 110110
Value: 556, Rank: 1001101
Value: -977, Rank: 0
Value: 561, Rank: 1001110
Value: 52, Rank: 110111
Value: 566, Rank: 1001111
Value: -957, Rank: 1
Value: -953, Rank: 10
Value: 71, Rank: 111000
Value: -438, Rank: 11111
Value: -941, Rank: 11
Value: -419, Rank: 100000
Value: 96, Rank: 111001
Value: -415, Rank: 100001
Value: 611, Rank: 1010000
Value: -924, Rank: 100
Value: -408, Rank: 100010
Value: 105, Rank: 111010
Value: -399, Rank: 100011
Value: -398, Rank: 100100
Value: 627, Rank: 1010001
Value: -395, Rank: 100101
Value: 124, Rank: 111011
Value: 128, Rank: 111100
Value: 132, Rank: 111101
Value: -889, Rank: 101
Value: -884, Rank: 110
Value: -874, Rank: 111
Value: 155, Rank: 111110
Value: 671, Rank: 1010010
Value: -351, Rank: 100110
Value: 677, Rank: 1010011
Value: -856, Rank: 1000
Value: -342, Rank: 100111
Value: -328, Rank: 101000
Value: 185, Rank: 111111
Value: -840, Rank: 1001
Value: -836, Rank: 1010
Value: -834, Rank: 1011
Value: 713, Rank: 1010100
Value: 210, Rank: 1000000
Value: 731, Rank: 1010101
Value: -803, Rank: 1100
Value: 222, Rank: 1000001
Value: -284, Rank: 101001
Value: -793, Rank: 1101
Value: -280, Rank: 101010
Value: 756, Rank: 1010110
Value: 758, Rank: 1010111
Value: 763, Rank: 1011000
Value: -257, Rank: 101011
Value: 767, Rank: 1011001
Value: -762, Rank: 1110
Value: -758, Rank: 1111
Value: -244, Rank: 101100
Value: -238, Rank: 101101
Value: -747, Rank: 10000
Value: -228, Rank: 101110
Value: 285, Rank: 1000010
Value: 287, Rank: 1000011
Value: -724, Rank: 10001
Value: 314, Rank: 1000100
Value: 830, Rank: 1011010
Value: -178, Rank: 101111
Value: -686, Rank: 10010
Value: -168, Rank: 110000
Value: 857, Rank: 1011011
Value: 866, Rank: 1011100
Value: -669, Rank: 10011
Value: 358, Rank: 1000101
Value: -153, Rank: 110001
Value: -143, Rank: 110010
Value: 379, Rank: 1000110
Value: -622, Rank: 10100
Value: 405, Rank: 1000111
Value: 917, Rank: 1011101
Value: -617, Rank: 10101
Value: -611, Rank: 10110
Value: 930, Rank: 1011110
Value: -81, Rank: 110011
Value: -590, Rank: 10111
Value: 951, Rank: 1011111
Value: 441, Rank: 1001000
Value: 970, Rank: 1100000
Value: 978, Rank: 1100001
Value: -555, Rank: 11000
Value: 986, Rank: 1100010
Value: -549, Rank: 11001
Value: -31, Rank: 110100
Value: -542, Rank: 11010
Value: 997, Rank: 1100011
Value: 487, Rank: 1001001
Value: -529, Rank: 11011
Value: -519, Rank: 11100
STACK B
